,raw-s-delta,volume-delta,ewm_last20_volume_base_s,ewm_last20_raw_s,ewm_volume_base_s,mean_volume_base_s,mean_s_dispersion,daily_sd_s_dispersion,volume_base_s_coff,raw_s_coff,volume_base_s_delta,s_dispersion_delta,volume_base_s_z,raw_s_z,s_volume_z,s_dispersion_z,volume_base_s_MACD_ewma12-ewma26,raw_s_MACD_ewma12-ewma26,s_volume_MACD_ewma12-ewma26,s_dispersion_MACD_ewma12-ewma26
0.0,-0.04331935069695192,0.0017484613324303976,0.019025585734765444,-0.00402352340803917,-0.28286572983061303,0.2486516962825863,0.02030239941274368,0.01606894750122364,0.003121971272835418,-0.002844493646022821,0.06333538156227496,0.09571766295485562,-0.0010710006970137498,0.0012567404017706793,-0.00034115185326128036,-0.00011147319850027993,0.12532831037645412,-0.11833138495183358,-0.0003898151365573592,0.011152630908814725
2.002002002002002e-05,-0.04293387525190022,0.001736268714393949,0.01893845466818255,-0.0040487857692313505,-0.2790021479686162,0.24377062416316594,0.020087497091035758,0.016125962331763253,0.003278917390491107,-0.0028884753957823845,0.06262970971436789,0.0956812935571636,-0.0010370648610240772,0.0012312451059138232,-0.0003381524474659728,-0.00010759334025537247,0.11282828211314655,-0.11111713631347657,-0.0005265477377435036,0.010611286528985043
4.004004004004004e-05,-0.042601384689916214,0.0017254712357378825,0.01884710015676239,-0.004068816830644553,-0.27521514233546956,0.23897317117068548,0.01987884961558797,0.016170901732675474,0.0034265353872885702,-0.002926968306524896,0.06202372065082513,0.09563781504002808,-0.0010073827557265608,0.0012093213028482141,-0.00033562164179587223,-0.00010393850368223423,0.10245334828231842,-0.10510851027479527,-0.0006423594026424189,0.010151752956340127
6.006006006006006e-05,-0.04230967295324593,0.001715767303533462,0.01875342325945817,-0.004084907605854045,-0.2715154884453329,0.2342771560413608,0.019676397302068716,0.016206634032556396,0.003566155525239033,-0.00296118209776886,0.06149436073803563,0.0955891725032547,-0.0009810101109184576,0.001190145123451955,-0.00033344950858630424,-0.00010047484115582413,0.09369773103691899,-0.10001904358985907,-0.0007420844870255828,0.009754467735270328
8.008008008008008e-05,-0.04205010809676932,0.001706942317526742,0.018658705845843053,-0.004097965343272084,-0.2679088864079534,0.2296926737480666,0.01948000467780244,0.01623518274202268,0.0036987739878262646,-0.002991976017981335,0.06102533246871908,0.09553672311346424,-0.0009572767088704067,0.001173134002138691,-0.00033155844711865495,-9.717722226657499e-05,0.08620481695033455,-0.09564672868044963,-0.0008291409198455116,0.009405660512819389
0.0001001001001001001,-0.041816406388421455,0.0016988389381020778,0.018563828045658322,-0.004108645620019732,-0.26439785753657075,0.22522494802552304,0.019289494089515614,0.016258016712522173,0.003825162969042476,-0.0030199787495646525,0.06060477668783752,0.09548143919317763,-0.0009356925844436255,0.0011578639062422074,-0.00032989208408019434,-9.4026340126092e-05,0.07971590823202226,-0.09184499928086055,-0.0009060161063866689,0.009095360627390208
0.00012012012012012012,-0.04160387921323456,0.001691338811184081,0.018469401348130198,-0.00411743344560836,-0.26098289458871016,0.22087606430735898,0.019104665618672134,0.016276228349628982,0.003945938733209679,-0.0030456620981122134,0.06022384877952302,0.09542403284835747,-0.0009158903828678255,0.0011440184887468576,-0.000328408456005419,-9.100692453197819e-05,0.07403874776127235,-0.08850491075491179,-0.0009745654210565008,0.008816173702145384
0.00014014014014014013,-0.04140895282354131,0.0016843509058316922,0.01837585307758972,-0.004124694945003036,-0.2576631829288182,0.216646058705701,0.01892530917570239,0.016290647228789906,0.004061605373269949,-0.0030693880082266257,0.05987581073735757,0.095365035331906,-0.0008975885855174374,0.0011313566633346236,-0.0003270756626450047,-8.810659488857022e-05,0.06902745431704935,-0.08554378016102847,-0.0010362025500194826,0.008562501952471326
0.00016016016016016016,-0.041228852125565735,0.0016778038283191733,0.018283481679914414,-0.004130711357869569,-0.25443706506679414,0.2125336215891566,0.01875121195801347,0.016301914878087728,0.00417258392020468,-0.003091439540526545,0.059555433382127085,0.09530484920621297,-0.0008805672833346569,0.001119691254974082,-0.0003258690057662601,-8.531509857712054e-05,0.06456931692894803,-0.08289770954770778,-0.0010920248141684723,0.008330031203883755
0.00018018018018018018,-0.04106138661718891,0.0016716406132608625,0.018192493867787343,-0.004135702028782152,-0.25130234649191396,0.20853656259903944,0.01858216307518926,0.01631053538113446,0.004279232298209124,-0.003112041858568897,0.059258591715915916,0.09524378357662096,-0.000864651765517946,0.001108874547601393,-0.0003247690528998435,-8.26237900391614e-05,0.06057586003067682,-0.0805165271421463,-0.0011428980026712435,0.00811538395660316
