Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - EFO.txt

Data for: 2017-03-13 14:25:00 UTC - 2017-12-20 14:55:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
EFO	2017-03-13 14:25:00	-0.15	-0.007	0.034	-4.249	-0.148	-0.007	0.033	-4.249	1	0.05	0.224	4.249	1.0	1.99	0.0	2017-03-13	10:25:00	US/Eastern
EFO	2017-03-13 14:40:00	-0.15	-0.007	0.034	-4.249	-0.147	-0.007	0.033	-4.249	1	0.05	0.224	4.249	1.0	1.99	0.0	2017-03-13	10:40:00	US/Eastern
EFO	2017-03-13 14:55:00	-0.15	-0.007	0.034	-4.249	-0.145	-0.007	0.033	-4.249	1	0.05	0.224	4.249	1.0	1.99	0.0	2017-03-13	10:55:00	US/Eastern
EFO	2017-03-13 15:10:00	-0.15	-0.007	0.034	-4.249	-0.144	-0.007	0.032	-4.249	1	0.05	0.224	4.249	1.0	1.99	0.0	2017-03-13	11:10:00	US/Eastern
EFO	2017-03-13 15:25:00	-0.15	-0.007	0.034	-4.249	-0.142	-0.007	0.032	-4.249	1	0.05	0.224	4.249	1.0	1.99	0.0	2017-03-13	11:25:00	US/Eastern
EFO	2017-03-13 15:40:00	-0.15	-0.007	0.034	-4.249	-0.141	-0.007	0.032	-4.249	1	0.05	0.224	4.249	1.0	1.99	0.0	2017-03-13	11:40:00	US/Eastern
EFO	2017-03-13 15:55:00	-0.15	-0.007	0.034	-4.249	-0.139	-0.007	0.031	-4.249	1	0.05	0.224	4.249	1.0	1.99	0.0	2017-03-13	11:55:00	US/Eastern
EFO	2017-03-13 16:10:00	-0.15	-0.007	0.034	-4.249	-0.138	-0.007	0.031	-4.249	1	0.05	0.224	4.249	1.0	1.99	0.0	2017-03-13	12:10:00	US/Eastern
EFO	2017-03-13 16:25:00	-0.15	-0.007	0.034	-4.249	-0.137	-0.007	0.031	-4.249	1	0.05	0.224	4.249	1.0	1.99	0.0	2017-03-13	12:25:00	US/Eastern
EFO	2017-03-13 16:40:00	-0.15	-0.007	0.034	-4.249	-0.135	-0.007	0.03	-4.249	1	0.05	0.224	4.249	1.0	1.99	0.0	2017-03-13	12:40:00	US/Eastern
EFO	2017-03-13 16:55:00	-0.15	-0.007	0.034	-4.249	-0.134	-0.007	0.03	-4.249	1	0.05	0.224	4.249	1.0	1.99	0.0	2017-03-13	12:55:00	US/Eastern
EFO	2017-03-13 17:10:00	-0.15	-0.007	0.034	-4.249	-0.132	-0.007	0.03	-4.249	1	0.05	0.224	4.249	1.0	1.99	0.0	2017-03-13	13:10:00	US/Eastern
EFO	2017-03-13 17:25:00	-0.15	-0.007	0.034	-4.249	-0.131	-0.007	0.029	-4.249	1	0.05	0.224	4.249	1.0	1.99	0.0	2017-03-13	13:25:00	US/Eastern
EFO	2017-03-13 17:40:00	-0.15	-0.007	0.034	-4.249	-0.13	-0.006	0.029	-4.249	1	0.05	0.224	4.249	1.0	1.99	0.0	2017-03-13	13:40:00	US/Eastern
EFO	2017-03-13 17:55:00	-0.15	-0.007	0.034	-4.249	-0.128	-0.006	0.029	-4.249	1	0.05	0.224	4.249	1.0	1.99	0.0	2017-03-13	13:55:00	US/Eastern
EFO	2017-03-13 18:10:00	-0.15	-0.007	0.034	-4.249	-0.127	-0.006	0.028	-4.249	1	0.05	0.224	4.249	1.0	1.99	0.0	2017-03-13	14:10:00	US/Eastern
EFO	2017-03-13 18:25:00	-0.15	-0.007	0.034	-4.249	-0.126	-0.006	0.028	-4.249	1	0.05	0.224	4.249	1.0	1.99	0.0	2017-03-13	14:25:00	US/Eastern
EFO	2017-03-13 18:40:00	-0.15	-0.007	0.034	-4.249	-0.124	-0.006	0.028	-4.249	1	0.05	0.224	4.249	1.0	1.99	0.0	2017-03-13	14:40:00	US/Eastern
EFO	2017-03-13 18:55:00	-0.15	-0.007	0.034	-4.249	-0.123	-0.006	0.028	-4.249	1	0.05	0.224	4.249	1.0	1.99	0.0	2017-03-13	14:55:00	US/Eastern
EFO	2017-03-13 19:10:00	-0.15	-0.007	0.034	-4.249	-0.122	-0.006	0.027	-4.249	1	0.05	0.224	4.249	1.0	1.99	0.0	2017-03-13	15:10:00	US/Eastern
EFO	2017-03-13 19:25:00	-0.15	-0.007	0.034	-4.249	-0.121	-0.006	0.027	-4.249	1	0.05	0.224	4.249	1.0	1.99	0.0	2017-03-13	15:25:00	US/Eastern
EFO	2017-03-13 19:40:00	-0.15	-0.007	0.034	-4.249	-0.119	-0.006	0.027	-4.249	1	0.05	0.224	4.249	1.0	1.99	0.0	2017-03-13	15:40:00	US/Eastern
EFO	2017-03-13 19:55:00	-0.15	-0.007	0.034	-4.249	-0.118	-0.006	0.026	-4.249	1	0.05	0.224	4.249	1.0	1.99	0.0	2017-03-13	15:55:00	US/Eastern
EFO	2017-03-13 20:10:00	-0.15	-0.007	0.034	-4.249	-0.117	-0.006	0.026	-4.249	1	0.05	0.224	4.249	1.0	1.99	0.0	2017-03-13	16:10:00	US/Eastern
EFO	2017-03-13 20:25:00	-0.15	-0.007	0.034	-4.249	-0.116	-0.006	0.026	-4.249	1	0.05	0.224	4.249	1.0	1.99	0.0	2017-03-13	16:25:00	US/Eastern
EFO	2017-03-13 20:40:00	-0.15	-0.007	0.034	-4.249	-0.114	-0.006	0.026	-4.249	1	0.05	0.224	4.249	1.0	1.99	0.0	2017-03-13	16:40:00	US/Eastern
EFO	2017-03-13 20:55:00	-0.15	-0.007	0.034	-4.249	-0.113	-0.006	0.025	-4.249	1	0.05	0.224	4.249	1.0	1.99	0.0	2017-03-13	16:55:00	US/Eastern
EFO	2017-03-13 21:10:00	-0.15	-0.007	0.034	-4.249	-0.112	-0.006	0.025	-4.249	1	0.05	0.224	4.249	1.0	1.99	0.0	2017-03-13	17:10:00	US/Eastern
EFO	2017-03-13 21:25:00	-0.15	-0.007	0.034	-4.249	-0.111	-0.006	0.025	-4.249	1	0.05	0.224	4.249	1.0	1.99	0.0	2017-03-13	17:25:00	US/Eastern
EFO	2017-03-13 21:40:00	-0.15	-0.007	0.034	-4.249	-0.11	-0.005	0.025	-4.249	1	0.05	0.224	4.249	1.0	1.99	0.0	2017-03-13	17:40:00	US/Eastern
EFO	2017-03-13 21:55:00	-0.15	-0.007	0.034	-4.249	-0.109	-0.005	0.024	-4.249	1	0.05	0.224	4.249	1.0	1.99	0.0	2017-03-13	17:55:00	US/Eastern
EFO	2017-03-13 22:10:00	-0.15	-0.007	0.034	-4.249	-0.107	-0.005	0.024	-4.249	1	0.05	0.224	4.249	1.0	1.99	0.0	2017-03-13	18:10:00	US/Eastern
EFO	2017-03-13 22:25:00	-0.15	-0.007	0.034	-4.249	-0.106	-0.005	0.024	-4.249	1	0.05	0.224	4.249	1.0	1.99	0.0	2017-03-13	18:25:00	US/Eastern
EFO	2017-03-13 22:40:00	-0.15	-0.007	0.034	-4.249	-0.105	-0.005	0.024	-4.249	1	0.05	0.224	4.249	1.0	1.99	0.0	2017-03-13	18:40:00	US/Eastern
