Total,,,Top 25,,,,don't matter,,Avg,,With S&P,,Without S&P,,Lowest 134
VIXM,1.319,,,,,,,,,,,,,,
VUG,1.318,,,,,,,,,,,,,,
QLT,1.318,,,,,,,,,,,,,,
EEB,1.318,,,,,,,,,,,,,,
FIDU,1.318,,,,,,,,,,,,,,
RZV,1.317,,,,,,,,,,,,,,
SCHB,1.317,,,,,,,,,,,,,,
UCI,1.317,,,,,,,,,,,,,,
MLN,1.317,,,,,,,,,,,,,,
TWOK,1.317,,,,,,,,,,,,,,
UXI,1.314,,,,,,,,,,,,,,
FLAT,1.314,,,,,,,,,,,,,,
VHT,1.311,,,,,,,,,,,,,,
CORP,1.309,,,,,,,,,,,,,,
DON,1.309,,,,,,,,,,,,,,
FEX,1.308,,,,,,,,,,,,,,
DIV,1.308,,,,,,,,,,,,,,
IAT,1.308,,,,,,,,,,,,,,
ICOL,1.307,,,,,,,,,,,,,,
SKK,1.307,,,,,,,,,,,,,,
GRWN,1.307,,,,,,,,,,,,,,
BCM,1.306,,,,,,,,,,,,,,
PKW,1.306,,,,,,,,,,,,,,
JKJ,1.305,,,,,,,,,,,,,,
XMPT,1.305,,,,,,,,,,,,,,
SLY,1.305,,,,,,,,,,,,,,
BDD,1.304,,,,,,,,,,,,,,
PSL,1.303,,,,,,,,,,,,,,
UBG,1.302,,,,,,,,,,,,,,
PGAL,1.302,,,,,,,,,,,,,,
UBR,1.298,,,,,,,,,,,,,,
EFV,1.298,,,,,,,,,,,,,,
PPA,1.298,,,,,,,,,,,,,,
GSR,1.297,,,,,,,,,,,,,,
SHYG,1.297,,,,,,,,,,,,,,
PKN,1.297,,,,,,,,,,,,,,
DLS,1.297,,,,,,,,,,,,,,
YYY,1.296,,,,,,,,,,,,,,
TUZ,1.295,,,,,,,,,,,,,,
DTN,1.293,,,,,,,,,,,,,,
DBP,1.293,,,,,,,,,,,,,,
CROC,1.292,,,,,,,,,,,,,,
USV,1.291,,,,,,,,,,,,,,
SIJ,1.291,,,,,,,,,,,,,,
PCEF,1.291,,,,,,,,,,,,,,
IPU,1.290,,,,,,,,,,,,,,
RING,1.290,,,,,,,,,,,,,,
SCC,1.290,,,,,,,,,,,,,,
SFLA,1.288,,,,,,,,,,,,,,
TECS,1.288,,,,,,,,,,,,,,
XAR,1.288,,,,,,,,,,,,,,
LBND,1.287,,,,,,,,,,,,,,
SCHP,1.287,,,,,,,,,,,,,,
INR,1.285,,,,,,,,,,,,,,
AUSE,1.285,,,,,,,,,,,,,,
INP,1.284,,,,,,,,,,,,,,
DES,1.284,,,,,,,,,,,,,,
QCLN,1.284,,,,,,,,,,,,,,
DTD,1.283,,,,,,,,,,,,,,
MLPI,1.283,,,,,,,,,,,,,,
PHB,1.283,,,,,,,,,,,,,,
XLFS,1.282,,,,,,,,,,,,,,
EIS,1.281,,,,,,,,,,,,,,
DBE,1.281,,,,,,,,,,,,,,
IEO,1.280,,,,,,,,,,,,,,
RYT,1.280,,,,,,,,,,,,,,
TBX,1.280,,,,,,,,,,,,,,
KLD,1.280,,,,,,,,,,,,,,
RFN,1.280,,,,,,,,,,,,,,
PNQI,1.279,,,,,,,,,,,,,,
CURE,1.279,,,,,,,,,,,,,,
IHF,1.279,,,,,,,,,,,,,,
SKOR,1.279,,,,,,,,,,,,,,
EEMV,1.278,,,,,,,,,,,,,,
VIDI,1.277,,,,,,,,,,,,,,
CUT,1.277,,,,,,,,,,,,,,
ALFA,1.275,,,,,,,,,,,,,,
IGV,1.274,,,,,,,,,,,,,,
ADRU,1.273,,,,,,,,,,,,,,
JPP,1.272,,,,,,,,,,,,,,
RYU,1.272,,,,,,,,,,,,,,
VLUE,1.271,,,,,,,,,,,,,,
HYS,1.270,,,,,,,,,,,,,,
FDL,1.269,,,,,,,,,,,,,,
JJM,1.268,,,,,,,,,,,,,,
RPV,1.267,,,,,,,,,,,,,,
DDM,1.267,,,,,,,,,,,,,,
FCAN,1.267,,,,,,,,,,,,,,
FMF,1.266,,,,,,,,,,,,,,
CSCR,1.266,,,,,,,,,,,,,,
ONEQ,1.266,,,,,,,,,,,,,,
NASI,1.264,,,,,,,,,,,,,,
SLVP,1.264,,,,,,,,,,,,,,
RYF,1.264,,,,,,,,,,,,,,
SKF,1.264,,,,,,,,,,,,,,
KBWY,1.263,,,,,,,,,,,,,,
XSW,1.263,,,,,,,,,,,,,,
PRF,1.262,,,,,,,,,,,,,,
IAH,1.262,,,,,,,,,,,,,,
IWR,1.262,,,,,,,,,,,,,,
UAG,1.262,,,,,,,,,,,,,,
JJP,1.261,,,,,,,,,,,,,,
INXX,1.260,,,,,,,,,,,,,,
RYJ,1.260,,,,,,,,,,,,,,
CANE,1.259,,,,,,,,,,,,,,
CNTR,1.259,,,,,,,,,,,,,,
RXL,1.259,,,,,,,,,,,,,,
IJT,1.258,,,,,,,,,,,,,,
EEV,1.258,,,,,,,,,,,,,,
PDP,1.257,,,,,,,,,,,,,,
MLPJ,1.257,,,,,,,,,,,,,,
QTEC,1.257,,,,,,,,,,,,,,
BARN,1.256,,,,,,,,,,,,,,
BLV,1.256,,,,,,,,,,,,,,
ENZL,1.255,,,,,,,,,,,,,,
IPE,1.254,,,,,,,,,,,,,,
IWP,1.254,,,,,,,,,,,,,,
DLBL,1.254,,,,,,,,,,,,,,
RSW,1.253,,,,,,,,,,,,,,
XLG,1.252,,,,,,,,,,,,,,
IGE,1.251,,,,,,,,,,,,,,
DFE,1.250,,,,,,,,,,,,,,
FOS,1.250,,,,,,,,,,,,,,
WSTE,1.249,,,,,,,,,,,,,,
IGF,1.249,,,,,,,,,,,,,,
FBZ,1.248,,,,,,,,,,,,,,
FLAG,1.248,,,,,,,,,,,,,,
IJS,1.248,,,,,,,,,,,,,,
RBL,1.247,,,,,,,,,,,,,,
GWL,1.247,,,,,,,,,,,,,,
UMX,1.247,,,,,,,,,,,,,,
SMDV,1.247,,,,,,,,,,,,,,
ROM,1.244,,,,,,,,,,,,,,
GAF,1.243,,,,,,,,,,,,,,
FONE,1.243,,,,,,,,,,,,,,
IJK,1.243,,,,,,,,,,,,,,
HYXU,1.242,,,,,,,,,,,,,,
TAO,1.241,,,,,,,,,,,,,,
MUNI,1.240,,,,,,,,,,,,,,
PIV,1.239,,,,,,,,,,,,,,
PGM,1.239,,,,,,,,,,,,,,
RMS,1.237,,,,,,,,,,,,,,
PSCE,1.237,,,,,,,,,,,,,,
XHE,1.237,,,,,,,,,,,,,,
CHIQ,1.236,,,,,,,,,,,,,,
PICK,1.235,,,,,,,,,,,,,,
ENFR,1.233,,,,,,,,,,,,,,
GSP,1.232,,,,,,,,,,,,,,
IDV,1.232,,,,,,,,,,,,,,
SCHR,1.231,,,,,,,,,,,,,,
DSI,1.231,,,,,,,,,,,,,,
ICI,1.229,,,,,,,,,,,,,,
PBW,1.229,,,,,,,,,,,,,,
VAW,1.228,,,,,,,,,,,,,,
JKF,1.228,,,,,,,,,,,,,,
FCL,1.227,,,,,,,,,,,,,,
GII,1.227,,,,,,,,,,,,,,
IWV,1.227,,,,,,,,,,,,,,
TYD,1.227,,,,,,,,,,,,,,
FAB,1.226,,,,,,,,,,,,,,
MDYV,1.226,,,,,,,,,,,,,,
FEEU,1.226,,,,,,,,,,,,,,
PSAU,1.224,,,,,,,,,,,,,,
KCE,1.224,,,,,,,,,,,,,,
PEZ,1.224,,,,,,,,,,,,,,
HDIV,1.224,,,,,,,,,,,,,,
CAPE,1.223,,,,,,,,,,,,,,
PEX,1.223,,,,,,,,,,,,,,
GMM,1.223,,,,,,,,,,,,,,
JJA,1.222,,,,,,,,,,,,,,
WFVK,1.222,,,,,,,,,,,,,,
GNMA,1.222,,,,,,,,,,,,,,
DBS,1.221,,,,,,,,,,,,,,
IAK,1.221,,,,,,,,,,,,,,
CWI,1.220,,,,,,,,,,,,,,
EMHY,1.220,,,,,,,,,,,,,,
ONG,1.220,,,,,,,,,,,,,,
BDG,1.220,,,,,,,,,,,,,,
PBS,1.218,,,,,,,,,,,,,,
SCIF,1.218,,,,,,,,,,,,,,
JKI,1.217,,,,,,,,,,,,,,
JJN,1.217,,,,,,,,,,,,,,
VONE,1.216,,,,,,,,,,,,,,
GRV,1.216,,,,,,,,,,,,,,
GOE,1.216,,,,,,,,,,,,,,
BSC,1.216,,,,,,,,,,,,,,
CMF,1.216,,,,,,,,,,,,,,
EPP,1.215,,,,,,,,,,,,,,
DHS,1.215,,,,,,,,,,,,,,
IDX,1.215,,,,,,,,,,,,,,
DRW,1.214,,,,,,,,,,,,,,
FAD,1.214,,,,,,,,,,,,,,
EMCG,1.214,,,,,,,,,,,,,,
INSD,1.214,,,,,,,,,,,,,,
EGPT,1.213,,,,,,,,,,,,,,
XMLV,1.213,,,,,,,,,,,,,,
SNLN,1.213,,,,,,,,,,,,,,
JJT,1.213,,,,,,,,,,,,,,
HECO,1.213,,,,,,,,,,,,,,
GTIP,1.212,,,,,,,,,,,,,,
PFM,1.212,,,,,,,,,,,,,,
IMLP,1.212,,,,,,,,,,,,,,
TRSK,1.212,,,,,,,,,,,,,,
HEVY,1.212,,,,,,,,,,,,,,
LTPZ,1.211,,,,,,,,,,,,,,
NORW,1.211,,,,,,,,,,,,,,
VQT,1.211,,,,,,,,,,,,,,
TAGS,1.210,,,,,,,,,,,,,,
UHN,1.209,,,,,,,,,,,,,,
FIW,1.209,,,,,,,,,,,,,,
VXF,1.208,,,,,,,,,,,,,,
USAG,1.207,,,,,,,,,,,,,,
ACWV,1.207,,,,,,,,,,,,,,
IJJ,1.207,,,,,,,,,,,,,,
RWX,1.206,,,,,,,,,,,,,,
PHDG,1.204,,,,,,,,,,,,,,
SCHZ,1.204,,,,,,,,,,,,,,
CNDA,1.204,,,,,,,,,,,,,,
FLM,1.204,,,,,,,,,,,,,,
MOAT,1.203,,,,,,,,,,,,,,
VPL,1.203,,,,,,,,,,,,,,
PSP,1.203,,,,,,,,,,,,,,
TDIV,1.202,,,,,,,,,,,,,,
HAO,1.201,,,,,,,,,,,,,,
SCPB,1.201,,,,,,,,,,,,,,
PAF,1.201,,,,,,,,,,,,,,
IPD,1.200,,,,,,,,,,,,,,
CCXE,1.200,,,,,,,,,,,,,,
TIPX,1.199,,,,,,,,,,,,,,
MLPX,1.198,,,,,,,,,,,,,,
DFVL,1.198,,,,,,,,,,,,,,
DAG,1.198,,,,,,,,,,,,,,
UYM,1.198,,,,,,,,,,,,,,
MES,1.197,,,,,,,,,,,,,,
DJCI,1.197,,,,,,,,,,,,,,
EEML,1.197,,,,,,,,,,,,,,
DTH,1.196,,,,,,,,,,,,,,
QDYN,1.196,,,,,,,,,,,,,,
IEZ,1.195,,,,,,,,,,,,,,
SBB,1.195,,,,,,,,,,,,,,
ENY,1.195,,,,,,,,,,,,,,
HYMB,1.194,,,,,,,,,,,,,,
PRB,1.194,,,,,,,,,,,,,,
ADRA,1.194,,,,,,,,,,,,,,
RTM,1.193,,,,,,,,,,,,,,
BTAL,1.193,,,,,,,,,,,,,,
FNCL,1.192,,,,,,,,,,,,,,
VXUS,1.192,,,,,,,,,,,,,,
USCI,1.192,,,,,,,,,,,,,,
GLJ,1.192,,,,,,,,,,,,,,
GGOV,1.191,,,,,,,,,,,,,,
SDYL,1.190,,,,,,,,,,,,,,
PSCT,1.190,,,,,,,,,,,,,,
BZF,1.190,,,,,,,,,,,,,,
GMF,1.189,,,,,,,,,,,,,,
PSJ,1.189,,,,,,,,,,,,,,
IGEM,1.189,,,,,,,,,,,,,,
SOIL,1.188,,,,,,,,,,,,,,
DDG,1.188,,,,,,,,,,,,,,
IFGL,1.187,,,,,,,,,,,,,,
GCE,1.185,,,,,,,,,,,,,,
SCHA,1.185,,,,,,,,,,,,,,
LD,1.184,,,,,,,,,,,,,,
SCHM,1.184,,,,,,,,,,,,,,
XTL,1.184,,,,,,,,,,,,,,
RJN,1.184,,,,,,,,,,,,,,
SDP,1.184,,,,,,,,,,,,,,
QAI,1.184,,,,,,,,,,,,,,
PBE,1.183,,,,,,,,,,,,,,
LSTK,1.183,,,,,,,,,,,,,,
XSLV,1.183,,,,,,,,,,,,,,
RWO,1.183,,,,,,,,,,,,,,
GSZ,1.182,,,,,,,,,,,,,,
UTH,1.182,,,,,,,,,,,,,,
INCO,1.182,,,,,,,,,,,,,,
GUR,1.182,,,,,,,,,,,,,,
NLR,1.181,,,,,,,,,,,,,,
VMBS,1.180,,,,,,,,,,,,,,
PSR,1.179,,,,,,,,,,,,,,
JJU,1.179,,,,,,,,,,,,,,
FINU,1.179,,,,,,,,,,,,,,
SMDD,1.179,,,,,,,,,,,,,,
IESM,1.179,,,,,,,,,,,,,,
DIM,1.179,,,,,,,,,,,,,,
DGRS,1.178,,,,,,,,,,,,,,
ULST,1.178,,,,,,,,,,,,,,
AUNZ,1.177,,,,,,,,,,,,,,
PICB,1.177,,,,,,,,,,,,,,
SMLV,1.177,,,,,,,,,,,,,,
JJE,1.176,,,,,,,,,,,,,,
UKW,1.176,,,,,,,,,,,,,,
CRBQ,1.176,,,,,,,,,,,,,,
TTFS,1.175,,,,,,,,,,,,,,
FCOM,1.175,,,,,,,,,,,,,,
IPN,1.174,,,,,,,,,,,,,,
MINC,1.174,,,,,,,,,,,,,,
VTWO,1.174,,,,,,,,,,,,,,
AIA,1.173,,,,,,,,,,,,,,
CMBS,1.173,,,,,,,,,,,,,,
SGAR,1.172,,,,,,,,,,,,,,
RXI,1.172,,,,,,,,,,,,,,
SHM,1.171,,,,,,,,,,,,,,
FGM,1.170,,,,,,,,,,,,,,
QQQE,1.170,,,,,,,,,,,,,,
ICN,1.169,,,,,,,,,,,,,,
FJP,1.169,,,,,,,,,,,,,,
TLTE,1.169,,,,,,,,,,,,,,
QLTC,1.169,,,,,,,,,,,,,,
UBC,1.169,,,,,,,,,,,,,,
GSD,1.169,,,,,,,,,,,,,,
KWT,1.168,,,,,,,,,,,,,,
AMU,1.168,,,,,,,,,,,,,,
RYE,1.167,,,,,,,,,,,,,,
JGBL,1.167,,,,,,,,,,,,,,
CZI,1.167,,,,,,,,,,,,,,
EMT,1.167,,,,,,,,,,,,,,
NY,1.166,,,,,,,,,,,,,,
BUNT,1.166,,,,,,,,,,,,,,
ASO,1.164,,,,,,,,,,,,,,
BIK,1.164,,,,,,,,,,,,,,
TPS,1.164,,,,,,,,,,,,,,
PSCD,1.163,,,,,,,,,,,,,,
KORU,1.163,,,,,,,,,,,,,,
BGZ,1.163,,,,,,,,,,,,,,
EET,1.163,,,,,,,,,,,,,,
FLRN,1.162,,,,,,,,,,,,,,
QABA,1.162,,,,,,,,,,,,,,
VSPY,1.162,,,,,,,,,,,,,,
QQQQ,1.162,,,,,,,,,,,,,,
LEMB,1.162,,,,,,,,,,,,,,
IFEU,1.162,,,,,,,,,,,,,,
TIPZ,1.161,,,,,,,,,,,,,,
FNK,1.161,,,,,,,,,,,,,,
PBD,1.161,,,,,,,,,,,,,,
SLYG,1.161,,,,,,,,,,,,,,
VSS,1.160,,,,,,,,,,,,,,
JKL,1.160,,,,,,,,,,,,,,
DBGR,1.160,,,,,,,,,,,,,,
EDIV,1.160,,,,,,,,,,,,,,
CEMB,1.160,,,,,,,,,,,,,,
JKH,1.160,,,,,,,,,,,,,,
RPG,1.160,,,,,,,,,,,,,,
SCIN,1.159,,,,,,,,,,,,,,
ENOR,1.159,,,,,,,,,,,,,,
SAA,1.159,,,,,,,,,,,,,,
MNA,1.159,,,,,,,,,,,,,,
JPX,1.159,,,,,,,,,,,,,,
NINI,1.159,,,,,,,,,,,,,,
PLTM,1.158,,,,,,,,,,,,,,
MDYG,1.158,,,,,,,,,,,,,,
DSUM,1.157,,,,,,,,,,,,,,
QLTA,1.157,,,,,,,,,,,,,,
PIC,1.157,,,,,,,,,,,,,,
PSCF,1.156,,,,,,,,,,,,,,
SBND,1.155,,,,,,,,,,,,,,
TLTD,1.155,,,,,,,,,,,,,,
HILO,1.155,,,,,,,,,,,,,,
PFXF,1.154,,,,,,,,,,,,,,
KNOW,1.153,,,,,,,,,,,,,,
XXV,1.153,,,,,,,,,,,,,,
SDIV,1.153,,,,,,,,,,,,,,
SLYV,1.152,,,,,,,,,,,,,,
IDLV,1.152,,,,,,,,,,,,,,
VWOB,1.150,,,,,,,,,,,,,,
AGZD,1.150,,,,,,,,,,,,,,
FDT,1.150,,,,,,,,,,,,,,
CHIX,1.150,,,,,,,,,,,,,,
EELV,1.150,,,,,,,,,,,,,,
SMK,1.149,,,,,,,,,,,,,,
MRGR,1.149,,,,,,,,,,,,,,
CTNN,1.149,,,,,,,,,,,,,,
RLY,1.148,,,,,,,,,,,,,,
UCC,1.148,,,,,,,,,,,,,,
GRU,1.148,,,,,,,,,,,,,,
PSCM,1.147,,,,,,,,,,,,,,
PBP,1.147,,,,,,,,,,,,,,
DBBR,1.146,,,,,,,,,,,,,,
EDEN,1.146,,,,,,,,,,,,,,
MVV,1.146,,,,,,,,,,,,,,
PFI,1.145,,,,,,,,,,,,,,
SCHV,1.145,,,,,,,,,,,,,,
WIP,1.145,,,,,,,,,,,,,,
ECON,1.144,,,,,,,,,,,,,,
KRU,1.144,,,,,,,,,,,,,,
FAUS,1.143,,,,,,,,,,,,,,
IBDB,1.143,,,,,,,,,,,,,,
INY,1.143,,,,,,,,,,,,,,
EBND,1.143,,,,,,,,,,,,,,
VOE,1.143,,,,,,,,,,,,,,
AGF,1.142,,,,,,,,,,,,,,
EMCD,1.142,,,,,,,,,,,,,,
FCHI,1.141,,,,,,,,,,,,,,
IDXJ,1.141,,,,,,,,,,,,,,
EMLP,1.140,,,,,,,,,,,,,,
JGBT,1.140,,,,,,,,,,,,,,
SLQD,1.139,,,,,,,,,,,,,,
RALS,1.138,,,,,,,,,,,,,,
AGA,1.137,,,,,,,,,,,,,,
MTK,1.137,,,,,,,,,,,,,,
XVZ,1.137,,,,,,,,,,,,,,
VEGI,1.137,,,,,,,,,,,,,,
SCJ,1.136,,,,,,,,,,,,,,
UPW,1.136,,,,,,,,,,,,,,
VTWG,1.136,,,,,,,,,,,,,,
IOO,1.136,,,,,,,,,,,,,,
BXUB,1.135,,,,,,,,,,,,,,
WPS,1.134,,,,,,,,,,,,,,
GRID,1.133,,,,,,,,,,,,,,
IDHQ,1.133,,,,,,,,,,,,,,
HDG,1.133,,,,,,,,,,,,,,
PID,1.133,,,,,,,,,,,,,,
WEET,1.132,,,,,,,,,,,,,,
TDTT,1.132,,,,,,,,,,,,,,
IPFF,1.131,,,,,,,,,,,,,,
MDIV,1.130,,,,,,,,,,,,,,
GNR,1.130,,,,,,,,,,,,,,
NASH,1.130,,,,,,,,,,,,,,
FHK,1.130,,,,,,,,,,,,,,
GML,1.129,,,,,,,,,,,,,,
TOK,1.129,,,,,,,,,,,,,,
GEX,1.128,,,,,,,,,,,,,,
FMAT,1.128,,,,,,,,,,,,,,
INKM,1.128,,,,,,,,,,,,,,
ILTB,1.128,,,,,,,,,,,,,,
ACIM,1.128,,,,,,,,,,,,,,
PSCI,1.127,,,,,,,,,,,,,,
ESR,1.127,,,,,,,,,,,,,,
GVT,1.127,,,,,,,,,,,,,,
EMDD,1.126,,,,,,,,,,,,,,
CHII,1.126,,,,,,,,,,,,,,
IPW,1.125,,,,,,,,,,,,,,
FMK,1.125,,,,,,,,,,,,,,
TTH,1.124,,,,,,,,,,,,,,
AFK,1.124,,,,,,,,,,,,,,
IQDF,1.124,,,,,,,,,,,,,,
PSCH,1.123,,,,,,,,,,,,,,
AOR,1.122,,,,,,,,,,,,,,
MXI,1.121,,,,,,,,,,,,,,
MBG,1.121,,,,,,,,,,,,,,
VOOG,1.121,,,,,,,,,,,,,,
FIL,1.120,,,,,,,,,,,,,,
ROOF,1.119,,,,,,,,,,,,,,
KXI,1.119,,,,,,,,,,,,,,
IHY,1.119,,,,,,,,,,,,,,
QQQC,1.119,,,,,,,,,,,,,,
EMBB,1.118,,,,,,,,,,,,,,
EMFT,1.118,,,,,,,,,,,,,,
ECNS,1.118,,,,,,,,,,,,,,
BFOR,1.117,,,,,,,,,,,,,,
EMIF,1.117,,,,,,,,,,,,,,
TVIZ,1.117,,,,,,,,,,,,,,
SCHG,1.117,,,,,,,,,,,,,,
VONG,1.116,,,,,,,,,,,,,,
ICLN,1.116,,,,,,,,,,,,,,
HVPW,1.116,,,,,,,,,,,,,,
FHLC,1.116,,,,,,,,,,,,,,
SCHO,1.116,,,,,,,,,,,,,,
KBWD,1.116,,,,,,,,,,,,,,
IFNA,1.115,,,,,,,,,,,,,,
KFYP,1.114,,,,,,,,,,,,,,
MOM,1.114,,,,,,,,,,,,,,
DPK,1.114,,,,,,,,,,,,,,
IDOG,1.114,,,,,,,,,,,,,,
GRES,1.113,,,,,,,,,,,,,,
FOIL,1.112,,,,,,,,,,,,,,
CGW,1.112,,,,,,,,,,,,,,
DPC,1.112,,,,,,,,,,,,,,
HUSE,1.111,,,,,,,,,,,,,,
RRF,1.111,,,,,,,,,,,,,,
AADR,1.111,,,,,,,,,,,,,,
CHIM,1.110,,,,,,,,,,,,,,
BWV,1.110,,,,,,,,,,,,,,
CSD,1.110,,,,,,,,,,,,,,
DBU,1.109,,,,,,,,,,,,,,
DGRE,1.109,,,,,,,,,,,,,,
PAGG,1.109,,,,,,,,,,,,,,
CHIB,1.108,,,,,,,,,,,,,,
PMY,1.108,,,,,,,,,,,,,,
KROO,1.107,,,,,,,,,,,,,,
VONV,1.107,,,,,,,,,,,,,,
RFV,1.106,,,,,,,,,,,,,,
QQXT,1.106,,,,,,,,,,,,,,
FDD,1.106,,,,,,,,,,,,,,
EFG,1.105,,,,,,,,,,,,,,
LWC,1.105,,,,,,,,,,,,,,
RIGS,1.105,,,,,,,,,,,,,,
QLTB,1.104,,,,,,,,,,,,,,
AND,1.103,,,,,,,,,,,,,,
DOD,1.102,,,,,,,,,,,,,,
SIZ,1.100,,,,,,,,,,,,,,
TYNS,1.100,,,,,,,,,,,,,,
IGHG,1.099,,,,,,,,,,,,,,
SICK,1.099,,,,,,,,,,,,,,
URTY,1.099,,,,,,,,,,,,,,
MYY,1.098,,,,,,,,,,,,,,
EFNL,1.098,,,,,,,,,,,,,,
PMA,1.098,,,,,,,,,,,,,,
FNDA,1.097,,,,,,,,,,,,,,
PSCC,1.097,,,,,,,,,,,,,,
AXJL,1.096,,,,,,,,,,,,,,
EFZ,1.096,,,,,,,,,,,,,,
TOTS,1.096,,,,,,,,,,,,,,
NYF,1.095,,,,,,,,,,,,,,
FLTR,1.095,,,,,,,,,,,,,,
WITE,1.095,,,,,,,,,,,,,,
CONG,1.094,,,,,,,,,,,,,,
RDIV,1.094,,,,,,,,,,,,,,
EMER,1.094,,,,,,,,,,,,,,
MIDZ,1.093,,,,,,,,,,,,,,
KBWP,1.092,,,,,,,,,,,,,,
BRAQ,1.092,,,,,,,,,,,,,,
PERM,1.091,,,,,,,,,,,,,,
RXD,1.091,,,,,,,,,,,,,,
RFL,1.091,,,,,,,,,,,,,,
FNY,1.090,,,,,,,,,,,,,,
UJB,1.090,,,,,,,,,,,,,,
URTH,1.089,,,,,,,,,,,,,,
UMM,1.088,,,,,,,,,,,,,,
FAA,1.088,,,,,,,,,,,,,,
BRAZ,1.088,,,,,,,,,,,,,,
BXUC,1.087,,,,,,,,,,,,,,
GQRE,1.087,,,,,,,,,,,,,,
CSLS,1.087,,,,,,,,,,,,,,
AYT,1.087,,,,,,,,,,,,,,
TDTF,1.086,,,,,,,,,,,,,,
GAL,1.086,,,,,,,,,,,,,,
FKO,1.086,,,,,,,,,,,,,,
RWW,1.086,,,,,,,,,,,,,,
JXI,1.085,,,,,,,,,,,,,,
VIIZ,1.085,,,,,,,,,,,,,,
HYZD,1.085,,,,,,,,,,,,,,
RWJ,1.084,,,,,,,,,,,,,,
VTWV,1.084,,,,,,,,,,,,,,
VOT,1.084,,,,,,,,,,,,,,
FEMS,1.083,,,,,,,,,,,,,,
BLNG,1.083,,,,,,,,,,,,,,
MLPN,1.083,,,,,,,,,,,,,,
PGD,1.082,,,,,,,,,,,,,,
GUNR,1.081,,,,,,,,,,,,,,
KBWI,1.080,,,,,,,,,,,,,,
GIVE,1.080,,,,,,,,,,,,,,
FNDX,1.080,,,,,,,,,,,,,,
ASEA,1.079,,,,,,,,,,,,,,
CHEP,1.079,,,,,,,,,,,,,,
LGLV,1.079,,,,,,,,,,,,,,
FEM,1.079,,,,,,,,,,,,,,
ROLA,1.077,,,,,,,,,,,,,,
ADZ,1.077,,,,,,,,,,,,,,
GXF,1.077,,,,,,,,,,,,,,
FINZ,1.076,,,,,,,,,,,,,,
SDD,1.075,,,,,,,,,,,,,,
CLY,1.074,,,,,,,,,,,,,,
AOM,1.074,,,,,,,,,,,,,,
HYHG,1.074,,,,,,,,,,,,,,
CZA,1.074,,,,,,,,,,,,,,
DIRT,1.074,,,,,,,,,,,,,,
SMB,1.073,,,,,,,,,,,,,,
GTAA,1.072,,,,,,,,,,,,,,
CBND,1.071,,,,,,,,,,,,,,
FNX,1.071,,,,,,,,,,,,,,
WDTI,1.070,,,,,,,,,,,,,,
QDEF,1.070,,,,,,,,,,,,,,
FNDE,1.070,,,,,,,,,,,,,,
AGND,1.070,,,,,,,,,,,,,,
EEN,1.070,,,,,,,,,,,,,,
REK,1.070,,,,,,,,,,,,,,
PSCU,1.070,,,,,,,,,,,,,,
SIZE,1.067,,,,,,,,,,,,,,
AOK,1.067,,,,,,,,,,,,,,
ATMP,1.067,,,,,,,,,,,,,,
BWZ,1.067,,,,,,,,,,,,,,
MMTM,1.066,,,,,,,,,,,,,,
DBEM,1.066,,,,,,,,,,,,,,
IELG,1.066,,,,,,,,,,,,,,
WMCR,1.066,,,,,,,,,,,,,,
EEMS,1.065,,,,,,,,,,,,,,
CSMA,1.064,,,,,,,,,,,,,,
RAVI,1.063,,,,,,,,,,,,,,
COBO,1.063,,,,,,,,,,,,,,
CXA,1.063,,,,,,,,,,,,,,
VIOO,1.062,,,,,,,,,,,,,,
LEDD,1.061,,,,,,,,,,,,,,
EMAG,1.061,,,,,,,,,,,,,,
UGE,1.061,,,,,,,,,,,,,,
TYBS,1.060,,,,,,,,,,,,,,
YMLP,1.060,,,,,,,,,,,,,,
HSPX,1.059,,,,,,,,,,,,,,
TBZ,1.058,,,,,,,,,,,,,,
NFRA,1.058,,,,,,,,,,,,,,
LVL,1.058,,,,,,,,,,,,,,
RWK,1.057,,,,,,,,,,,,,,
RTR,1.057,,,,,,,,,,,,,,
GHYG,1.055,,,,,,,,,,,,,,
MGK,1.054,,,,,,,,,,,,,,
CVY,1.051,,,,,,,,,,,,,,
VIOG,1.051,,,,,,,,,,,,,,
HYLS,1.051,,,,,,,,,,,,,,
MGV,1.051,,,,,,,,,,,,,,
EMCR,1.050,,,,,,,,,,,,,,
VIOV,1.049,,,,,,,,,,,,,,
GVI,1.048,,,,,,,,,,,,,,
EEME,1.048,,,,,,,,,,,,,,
JSC,1.048,,,,,,,,,,,,,,
QEH,1.045,,,,,,,,,,,,,,
EMFM,1.045,,,,,,,,,,,,,,
JGBB,1.044,,,,,,,,,,,,,,
VEGA,1.043,,,,,,,,,,,,,,
BABS,1.043,,,,,,,,,,,,,,
AGZ,1.042,,,,,,,,,,,,,,
BICK,1.041,,,,,,,,,,,,,,
MLPC,1.041,,,,,,,,,,,,,,
HYND,1.041,,,,,,,,,,,,,,
BSJI,1.041,,,,,,,,,,,,,,
BSJG,1.039,,,,,,,,,,,,,,
BSCG,1.038,,,,,,,,,,,,,,
ASDR,1.038,,,,,,,,,,,,,,
AOA,1.038,,,,,,,,,,,,,,
WDIV,1.038,,,,,,,,,,,,,,
NYC,1.038,,,,,,,,,,,,,,
HAP,1.038,,,,,,,,,,,,,,
VOOV,1.038,,,,,,,,,,,,,,
