Total,,,Top 25,,,,don't matter,,Avg,,With S&P,,Without S&P,,Lowest 134
TIP,2.770,,,,,CRO,1.000,,,,,,,,
MCHI,2.769,,,,,DIVS,1.000,,,,,,,,
HEDJ,2.744,,,,,EEO,1.000,,,,,,,,
URA,2.736,,,,,ELR,1.000,,,,,,,,
FDN,2.734,,,,,EMEY,1.000,,,,,,,,
EWI,2.710,,,,,FCD,1.000,,,,,,,,
SIL,2.665,,,,,FDV,1.000,,,,,,,,
EWH,2.632,,,,,FISN,1.000,,,,,,,,
EPI,2.609,,,,,FLYX,1.000,,,,,,,,
ERY,2.607,,,,,FNDB,1.000,,,,,,,,
FBM,2.592,,,,,FOL,1.000,,,,,,,,
CYB,2.592,,,,,INFL,1.000,,,,,,,,
QID,2.580,,,,,JFT,1.000,,,,,,,,
OLEM,2.571,,,,,MFLA,1.000,,,,,,,,
WEAT,2.569,,,,,NOMO,1.000,,,,,,,,
IEV,2.568,,,,,PEF,1.000,,,,,,,,
MUB,2.563,,,,,PKOL,1.000,,,,,,,,
IEI,2.534,,,,,PSTL,1.000,,,,,,,,
GREK,2.506,,,,,QQQV,1.000,,,,,,,,
EMB,2.435,,,,,RTW,1.000,,,,,,,,
VGLT,2.429,,,,,SGGG,1.000,,,,,,,,
UGL,2.424,,,,,SHMO,1.000,,,,,,,,
DGP,2.405,,,,,SLVY,1.000,,,,,,,,
RWM,2.390,,,,,,,,,,,,,,
REM,2.384,,,,,,,,,,,,,,
BRZU,2.374,,,,,,,,,,,,,,
BUND,2.365,,,,,,,,,,,,,,
UGA,2.356,,,,,,,,,,,,,,
BAL,2.349,,,,,,,,,,,,,,
VIXY,2.340,,,,,,,,,,,,,,
PGJ,2.330,,,,,,,,,,,,,,
RTH,2.328,,,,,,,,,,,,,,
INDA,2.323,,,,,,,,,,,,,,
BKLN,2.315,,,,,,,,,,,,,,
EWY,2.310,,,,,,,,,,,,,,
SOXL,2.305,,,,,,,,,,,,,,
TLH,2.299,,,,,,,,,,,,,,
YCS,2.294,,,,,,,,,,,,,,
FCG,2.294,,,,,,,,,,,,,,
GSG,2.285,,,,,,,,,,,,,,
MDY,2.285,,,,,,,,,,,,,,
KOL,2.281,,,,,,,,,,,,,,
GAZ,2.263,,,,,,,,,,,,,,
USMV,2.243,,,,,,,,,,,,,,
EWA,2.235,,,,,,,,,,,,,,
AGQ,2.227,,,,,,,,,,,,,,
IEMG,2.225,,,,,,,,,,,,,,
SLX,2.177,,,,,,,,,,,,,,
EDZ,2.159,,,,,,,,,,,,,,
VEA,2.147,,,,,,,,,,,,,,
UST,2.139,,,,,,,,,,,,,,
EMG,2.138,,,,,,,,,,,,,,
RUSS,2.117,,,,,,,,,,,,,,
SGG,2.116,,,,,,,,,,,,,,
GLL,2.108,,,,,,,,,,,,,,
ACWI,2.095,,,,,,,,,,,,,,
RJI,2.083,,,,,,,,,,,,,,
PFF,2.079,,,,,,,,,,,,,,
CIU,2.078,,,,,,,,,,,,,,
EPV,2.076,,,,,,,,,,,,,,
PPLT,2.076,,,,,,,,,,,,,,
KOLD,2.073,,,,,,,,,,,,,,
BIS,2.068,,,,,,,,,,,,,,
RWL,2.065,,,,,,,,,,,,,,
PLW,2.019,,,,,,,,,,,,,,
FM,2.007,,,,,,,,,,,,,,
QLD,1.991,,,,,,,,,,,,,,
BIL,1.987,,,,,,,,,,,,,,
DRR,1.987,,,,,,,,,,,,,,
UBT,1.987,,,,,,,,,,,,,,
DBB,1.981,,,,,,,,,,,,,,
EMV,1.979,,,,,,,,,,,,,,
MLPL,1.968,,,,,,,,,,,,,,
CMD,1.963,,,,,,,,,,,,,,
